ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
110001,201901,3528,10380,2512,8439,669,2401,968,3226,1637,5627
110002,201901,10867,29540,7867,24381,2312,7626,2492,7763,4804,15389
110003,201901,604,1815,437,1465,122,441,89,289,211,730
110004,201901,9116,25581,6355,20367,1636,5553,1675,5630,3311,11183
110005,201901,2331,6294,1458,4651,360,1222,428,1470,788,2692
110006,201901,1694,4792,1065,3505,245,899,168,536,413,1435
110007,201901,1003,2892,775,2527,288,967,230,844,518,1811
110008,201901,2991,8710,2217,7501,277,915,1513,5348,1790,6263
110009,201901,3918,11361,2573,8898,726,2597,874,3160,1600,5757
110010,201901,6162,21125,4837,18605,1167,4353,2270,9727,3437,14080
110011,201901,6023,16805,4336,13744,1542,5001,762,2542,2304,7543
110012,201901,13098,34482,8459,26239,2266,7352,1064,3531,3330,10883
110013,201901,4922,14965,3868,12845,1702,5774,580,2174,2282,7948
110014,201901,3533,9676,2478,7695,698,2202,947,2932,1645,5134
110015,201901,4706,12822,2678,8674,746,2642,405,1177,1151,3819
110018,201901,3220,8525,1950,6266,465,1676,503,1556,968,3232
110020,201901,69786,174478,48397,144391,10744,33303,19519,62613,30263,95916
110025,201901,4683,11883,3101,9075,695,2149,1409,4047,2104,6196
110026,201901,434,1245,331,1083,101,353,127,403,228,756
110028,201901,5669,15425,3716,11732,1063,3579,560,1771,1623,5350
110029,201901,1302,3227,761,2326,183,571,312,976,495,1547
110030,201901,11687,28350,7687,22608,1592,5411,2394,7365,3986,12776
110032,201901,2749,8209,1924,6471,660,2241,474,1660,1134,3901
110033,201901,3572,11672,2862,10311,1046,3854,701,2802,1747,6656
110034,201901,3232,8025,2192,6563,677,2179,910,2804,1587,4983
110037,201901,1553,4957,1246,4360,304,1082,584,2046,888,3128
110040,201901,2809,8224,2075,6854,652,2281,528,1691,1180,3972
110045,201901,4713,14141,3739,12400,1041,3732,1412,4724,2453,8456
110050,201901,1637,4849,1213,4016,529,1833,245,818,774,2651
110060,201901,737,2253,521,1795,211,773,65,225,276,998
110070,201901,1687,5426,1323,4602,457,1682,271,868,728,2550
110080,201901,5730,13834,4132,11962,514,1398,2819,8624,3333,10022
110090,201901,541,1499,378,1211,113,393,138,428,251,821
110092,201901,1115,3395,849,2891,147,515,447,1598,594,2113
110094,201901,2761,8386,2137,7262,788,2792,562,2032,1350,4824
110100,201901,1657,5163,1380,4569,337,1173,650,2147,987,3320
110110,201901,1641,4783,1156,3892,380,1333,252,909,632,2242
110120,201901,1208,3706,925,3125,252,880,272,921,524,1801
110130,201901,2468,6503,1551,4800,349,1181,540,1649,889,2830
110140,201901,1967,6214,1428,5084,399,1462,376,1373,775,2835
110143,201901,1268,3515,877,2745,308,968,201,649,509,1617
110145,201901,856,2377,564,1824,142,491,185,618,327,1109
110146,201901,426,1184,295,978,56,183,148,522,204,705
110147,201901,746,1975,471,1423,70,213,190,503,260,716
110148,201901,752,2230,460,1588,118,452,54,188,172,640
110149,201901,2814,8111,2050,6908,797,2687,504,1871,1301,4558
110150,201901,2256,6030,1575,5054,556,1938,485,1594,1041,3532
110155,201901,619,1919,481,1608,126,444,158,503,284,947
110160,201901,1473,4666,1099,3831,371,1298,251,922,622,2220
110170,201901,2128,5648,1327,4069,251,810,679,2028,930,2838
110175,201901,1420,4208,1058,3597,195,690,511,1817,706,2507
110180,201901,1249,3547,866,2760,188,605,388,1244,576,1849
120001,201901,3027,9695,2589,9065,423,1419,1701,6207,2124,7626
120005,201901,1868,7236,1689,6947,166,752,1295,5439,1461,6191
120010,201901,5125,16029,4392,14834,569,1884,3025,10504,3594,12388
120013,201901,2102,7900,1964,7705,493,1838,1161,4867,1654,6705
120017,201901,2094,7139,1885,6800,336,1243,1161,4375,1497,5618
120020,201901,14016,58344,13130,56516,1278,5985,10077,44023,11355,50008
120025,201901,2801,8428,2317,7811,443,1510,1507,5209,1950,6719
120030,201901,6446,25731,6130,25161,425,2255,4876,20071,5301,22326
120032,201901,1606,7432,1543,7287,99,607,1266,5921,1365,6528
120033,201901,3962,14987,3721,14564,145,781,3192,12427,3337,13208
120034,201901,2494,9364,2173,8770,126,731,1737,6883,1863,7614
120035,201901,3453,14466,3298,14169,303,1408,2656,11584,2959,12992
120038,201901,2649,8796,2306,8206,564,2127,1192,4286,1756,6413
120039,201901,1915,8611,1808,8406,156,957,1401,6487,1557,7444
120040,201901,40262,133293,35662,125616,6042,22408,21687,77566,27729,99974
120042,201901,3259,12569,3003,12029,175,935,2379,9495,2554,10430
120043,201901,1361,5659,1240,5444,53,308,1092,4801,1145,5109
120045,201901,5705,15846,5039,15101,148,596,4599,13646,4747,14242
120050,201901,8851,32845,8137,31720,534,2648,6573,25708,7107,28356
120060,201901,8889,35966,8252,34958,438,2532,7039,29786,7477,32318
120070,201901,2986,9930,2626,9430,282,1062,1834,6830,2116,7892
120080,201901,4200,14379,3785,13702,593,2307,2543,9345,3136,11652
130002,201901,3098,12468,2798,12056,115,621,2489,10752,2604,11373
130006,201901,2325,8964,1906,8205,164,798,1437,6156,1601,6954
130008,201901,2514,8994,2269,8624,77,405,1925,7306,2002,7711
130010,201901,3852,11273,3311,10657,62,209,3096,10050,3158,10259
130014,201901,2924,9104,2348,8122,426,1506,1444,5099,1870,6605
130020,201901,2640,10574,2402,10188,157,950,1887,7929,2044,8879
130030,201901,9497,31905,8718,31000,199,850,7917,28394,8116,29244
130040,201901,3624,11071,3071,10326,161,599,2482,8415,2643,9014
130050,201901,7356,27282,6178,25769,205,964,5563,23448,5768,24412
130060,201901,7091,29188,6182,27957,549,3178,4874,21899,5423,25077
130063,201901,5982,20207,5360,19514,132,638,4959,18097,5091,18735
130068,201901,3368,13024,2967,12315,220,1233,2226,9135,2446,10368
130070,201901,7535,21996,6329,20665,298,970,5373,17874,5671,18844
130080,201901,6669,25725,5965,24865,318,1868,4963,20821,5281,22689
130083,201901,2540,8863,2320,8588,183,801,1944,7146,2127,7947
130090,201901,3375,10756,3026,10295,63,292,2633,9133,2696,9425
130100,201901,7557,23423,6538,22342,74,193,6121,21473,6195,21666
130110,201901,8067,23507,6770,21899,802,2151,5270,17959,6072,20110
130115,201901,5366,17154,4705,16369,109,435,4155,14659,4264,15094
