uf_ibge;Periodo;Quantidade de novas concessoes
50;02/2020;177
50;01/2020;1.839
50;12/2019;316
50;11/2019;283
50;10/2019;329
50;09/2019;207
50;08/2019;399
50;07/2019;124
50;06/2019;84
50;05/2019;3.817
50;04/2019;3.170
50;03/2019;2.828
50;02/2019;2.205
50;01/2019;3.052
50;12/2018;8.044
50;11/2018;3.937
50;10/2018;3.030
50;09/2018;3.875
50;08/2018;3.184
50;07/2018;4.014
50;06/2018;4.561
50;05/2018;3.522
50;04/2018;3.733
50;03/2018;2.479
50;02/2018;2.892
50;01/2018;2.613
50;12/2017;2.153
50;11/2017;3.958
50;10/2017;2.780
50;09/2017;2.650
50;08/2017;8.243
50;07/2017;3.351
50;06/2017;487
50;05/2017;292
50;04/2017;1.767
50;03/2017;29
50;02/2017;1.568
50;01/2017;5.252
50;12/2016;3.643
50;11/2016;1.100
50;10/2016;1.889
50;09/2016;7.829
50;08/2016;261
50;07/2016;3.982
50;06/2016;290
50;05/2016;108
50;04/2016;1.916
50;03/2016;3.176
50;02/2016;74
50;01/2016;5.641
50;12/2015;1.341
50;11/2015;3.337
50;10/2015;10.025
50;09/2015;6.839
50;08/2015;367
50;07/2015;266
50;06/2015;570
50;05/2015;47
50;04/2015;1.327
50;03/2015;64
50;02/2015;359
50;01/2015;22
50;12/2014;140
50;11/2014;412
50;10/2014;16
50;09/2014;124
50;08/2014;123
50;07/2014;3.098
50;06/2014;2.727
50;05/2014;2.277
50;04/2014;2.456
50;03/2014;4.517
50;02/2014;4.043
50;01/2014;833
