uf_ibge;sigla_estado;nome_estado;nome_regiao;Periodo;Quantidade_de_novas_concessoes
11;RO;RONDONIA           ;NORTE       ;01/2014;622
11;RO;RONDONIA           ;NORTE       ;01/2015;8
11;RO;RONDONIA           ;NORTE       ;01/2016;2.990
11;RO;RONDONIA           ;NORTE       ;01/2017;1.621
11;RO;RONDONIA           ;NORTE       ;01/2018;1.432
11;RO;RONDONIA           ;NORTE       ;01/2019;1.258
11;RO;RONDONIA           ;NORTE       ;01/2020;4.785
11;RO;RONDONIA           ;NORTE       ;02/2014;950
11;RO;RONDONIA           ;NORTE       ;02/2015;49
11;RO;RONDONIA           ;NORTE       ;02/2016;204
11;RO;RONDONIA           ;NORTE       ;02/2017;725
11;RO;RONDONIA           ;NORTE       ;02/2018;1.240
11;RO;RONDONIA           ;NORTE       ;02/2019;1.128
11;RO;RONDONIA           ;NORTE       ;02/2020;21
11;RO;RONDONIA           ;NORTE       ;03/2014;2.404
11;RO;RONDONIA           ;NORTE       ;03/2015;24
11;RO;RONDONIA           ;NORTE       ;03/2016;1.184
11;RO;RONDONIA           ;NORTE       ;03/2017;5
11;RO;RONDONIA           ;NORTE       ;03/2018;1.206
11;RO;RONDONIA           ;NORTE       ;03/2019;1.373
11;RO;RONDONIA           ;NORTE       ;04/2014;1.800
11;RO;RONDONIA           ;NORTE       ;04/2015;4.067
11;RO;RONDONIA           ;NORTE       ;04/2016;1.651
11;RO;RONDONIA           ;NORTE       ;04/2017;964
11;RO;RONDONIA           ;NORTE       ;04/2018;1.685
11;RO;RONDONIA           ;NORTE       ;04/2019;1.452
11;RO;RONDONIA           ;NORTE       ;05/2014;1.330
11;RO;RONDONIA           ;NORTE       ;05/2015;6
11;RO;RONDONIA           ;NORTE       ;05/2016;26
11;RO;RONDONIA           ;NORTE       ;05/2017;414
11;RO;RONDONIA           ;NORTE       ;05/2018;1.697
11;RO;RONDONIA           ;NORTE       ;05/2019;1.647
11;RO;RONDONIA           ;NORTE       ;06/2014;1.092
11;RO;RONDONIA           ;NORTE       ;06/2015;929
11;RO;RONDONIA           ;NORTE       ;06/2016;808
11;RO;RONDONIA           ;NORTE       ;06/2017;745
11;RO;RONDONIA           ;NORTE       ;06/2018;2.570
11;RO;RONDONIA           ;NORTE       ;06/2019;17
11;RO;RONDONIA           ;NORTE       ;07/2014;4.790
11;RO;RONDONIA           ;NORTE       ;07/2015;408
11;RO;RONDONIA           ;NORTE       ;07/2016;1.494
11;RO;RONDONIA           ;NORTE       ;07/2017;911
11;RO;RONDONIA           ;NORTE       ;07/2018;2.095
