id_regiao,nome_regiao,sigla_regiao,id_estado,sigla_estado,nome_estado,id_regiao
1,Norte,N,11,RO,Rondônia,1
1,Norte,N,12,AC,Acre,1
1,Norte,N,13,AM,Amazonas,1
1,Norte,N,14,RR,Roraima,1
1,Norte,N,15,PA,Pará,1
1,Norte,N,16,AP,Amapá,1
1,Norte,N,17,TO,Tocantins,1
2,Nordeste,NE,21,MA,Maranhão,2
2,Nordeste,NE,22,PI,Piauí,2
2,Nordeste,NE,23,CE,Ceará,2
2,Nordeste,NE,24,RN,Rio Grande do Norte,2
2,Nordeste,NE,25,PB,Paraíba,2
2,Nordeste,NE,26,PE,Pernambuco,2
2,Nordeste,NE,27,AL,Alagoas,2
2,Nordeste,NE,28,SE,Sergipe,2
2,Nordeste,NE,29,BA,Bahia,2
3,Sudeste,SE,31,MG,Minas Gerais,3
3,Sudeste,SE,32,ES,Espírito Santo,3
3,Sudeste,SE,33,RJ,Rio de Janeiro,3
3,Sudeste,SE,35,SP,São Paulo,3
4,Sul,S,41,PR,Paraná,4
4,Sul,S,42,SC,Santa Catarina,4
4,Sul,S,43,RS,Rio Grande do Sul,4
5,Centro-Oeste,CO,50,MS,Mato Grosso do Sul,5
5,Centro-Oeste,CO,51,MT,Mato Grosso,5
5,Centro-Oeste,CO,52,GO,Goiás,5
5,Centro-Oeste,CO,53,DF,Distrito Federal,5
