ESTADO;UF;IBGE;MUNICIPIO;LATITUDE;LONGITUDE;REGIAO
RONDONIA;RO;110001;ALTA FLORESTA D'OESTE;-11,9287;-61,9958;NORTE
RONDONIA;RO;110002;ARIQUEMES;-9,90612;-63,033;NORTE
RONDONIA;RO;110003;CABIXI;-13,4951;-60,5446;NORTE
RONDONIA;RO;110004;CACOAL;-11,4347;-61,4566;NORTE
RONDONIA;RO;110005;CEREJEIRAS;-13,1874;-60,8173;NORTE
RONDONIA;RO;110006;COLORADO DO OESTE;-13,1178;-60,5459;NORTE
RONDONIA;RO;110007;CORUMBIARA;-12,9982;-60,9421;NORTE
RONDONIA;RO;110008;COSTA MARQUES;-12,4371;-64,2284;NORTE
RONDONIA;RO;110009;ESPIGAO D'OESTE;-11,527;-61,0256;NORTE
RONDONIA;RO;110010;GUAJARA-MIRIM;-10,7893;-65,33;NORTE
RONDONIA;RO;110011;JARU;-10,4322;-62,4792;NORTE
RONDONIA;RO;110012;JI-PARANA;-10,8782;-61,9326;NORTE
RONDONIA;RO;110013;MACHADINHO D'OESTE;-9,42747;-61,9976;NORTE
RONDONIA;RO;110014;NOVA BRASILANDIA D'OESTE;-11,7251;-62,3131;NORTE
RONDONIA;RO;110015;OURO PRETO DO OESTE;-10,7171;-62,257;NORTE
RONDONIA;RO;110018;PIMENTA BUENO;-11,6724;-61,1984;NORTE
RONDONIA;RO;110020;PORTO VELHO;-8,76247;-63,9045;NORTE
RONDONIA;RO;110025;PRESIDENTE MEDICI;-11,1694;-61,8991;NORTE
RONDONIA;RO;110026;RIO CRESPO;-9,70492;-62,8985;NORTE
RONDONIA;RO;110028;ROLIM DE MOURA;-11,7275;-61,7719;NORTE
RONDONIA;RO;110029;SANTA LUZIA D'OESTE;-11,9078;-61,7781;NORTE
RONDONIA;RO;110030;VILHENA;-12,7506;-60,1493;NORTE
RONDONIA;RO;110032;SAO MIGUEL DO GUAPORE;-11,6957;-62,7197;NORTE
RONDONIA;RO;110033;NOVA MAMORE;-10,4081;-65,3351;NORTE
RONDONIA;RO;110034;ALVORADA D'OESTE;-11,3467;-62,2852;NORTE
RONDONIA;RO;110037;ALTO ALEGRE DOS PARECIS;-12,1405;-61,8379;NORTE
RONDONIA;RO;110040;ALTO PARAISO;-9,7147;-63,3193;NORTE
RONDONIA;RO;110045;BURITIS;-10,206;-63,8312;NORTE
RONDONIA;RO;110050;NOVO HORIZONTE DO OESTE;-11,7091;-61,9993;NORTE
RONDONIA;RO;110060;CACAULANDIA;-10,3387;-62,9003;NORTE
RONDONIA;RO;110070;CAMPO NOVO DE RONDONIA;-10,5699;-63,6212;NORTE
RONDONIA;RO;110080;CANDEIAS DO JAMARI;-8,7911;-63,701;NORTE
RONDONIA;RO;110090;CASTANHEIRAS;-11,4257;-61,9487;NORTE
RONDONIA;RO;110092;CHUPINGUAIA;-12,5533;-60,9026;NORTE
RONDONIA;RO;110094;CUJUBIM;-9,36106;-62,585;NORTE
RONDONIA;RO;110100;GOVERNADOR JORGE TEIXEIRA;-10,6104;-62,7375;NORTE
RONDONIA;RO;110110;ITAPUA DO OESTE;-9,19545;-63,1787;NORTE
RONDONIA;RO;110120;MINISTRO ANDREAZZA;-11,1964;-61,5179;NORTE
RONDONIA;RO;110130;MIRANTE DA SERRA;-11,0294;-62,6701;NORTE
RONDONIA;RO;110140;MONTE NEGRO;-10,2594;-63,2983;NORTE
RONDONIA;RO;110143;NOVA UNIAO;-10,9122;-62,5562;NORTE
RONDONIA;RO;110145;PARECIS;-12,1758;-61,6037;NORTE
RONDONIA;RO;110146;PIMENTEIRAS DO OESTE;-13,4827;-61,0475;NORTE
RONDONIA;RO;110147;PRIMAVERA DE RONDONIA;-11,8299;-61,3158;NORTE
RONDONIA;RO;110148;SAO FELIPE D'OESTE;-11,9027;-61,5031;NORTE
RONDONIA;RO;110149;SAO FRANCISCO DO GUAPORE;-12,0524;-63,5684;NORTE
RONDONIA;RO;110150;SERINGUEIRAS;-11,7699;-63,0337;NORTE
RONDONIA;RO;110155;TEIXEIROPOLIS;-10,9337;-62,2562;NORTE
RONDONIA;RO;110160;THEOBROMA;-10,2487;-62,3543;NORTE
RONDONIA;RO;110170;URUPA;-11,1265;-62,3644;NORTE
RONDONIA;RO;110175;VALE DO ANARI;-9,85766;-62,1745;NORTE
RONDONIA;RO;110180;VALE DO PARAISO;-10,4268;-62,1285;NORTE
ACRE;AC;120001;ACRELANDIA;-10,0758;-67,0521;NORTE
ACRE;AC;120005;ASSIS BRASIL;-10,9394;-69,5658;NORTE
ACRE;AC;120010;BRASILEIA;-10,9954;-68,7502;NORTE
ACRE;AC;120013;BUJARI;-9,83395;-67,9523;NORTE
ACRE;AC;120017;CAPIXABA;-10,5749;-67,6768;NORTE
ACRE;AC;120020;CRUZEIRO DO SUL;-7,62801;-72,6761;NORTE
ACRE;AC;120025;EPITACIOLANDIA;-11,0192;-68,7346;NORTE
ACRE;AC;120030;FEIJO;-8,16349;-70,3537;NORTE
ACRE;AC;120032;JORDAO;-9,4313;-71,8979;NORTE
ACRE;AC;120033;MANCIO LIMA;-7,61696;-72,9002;NORTE
ACRE;AC;120034;MANOEL URBANO;-8,83328;-69,2684;NORTE
ACRE;AC;120035;MARECHAL THAUMATURGO;-8,93937;-72,8002;NORTE
ACRE;AC;120038;PLACIDO DE CASTRO;-10,3262;-67,1844;NORTE
ACRE;AC;120039;PORTO WALTER;-8,26362;-72,7542;NORTE
ACRE;AC;120040;RIO BRANCO;-9,97546;-67,8105;NORTE
ACRE;AC;120042;RODRIGUES ALVES;-7,73418;-72,6505;NORTE
ACRE;AC;120043;SANTA ROSA DO PURUS;-9,44691;-70,4907;NORTE
ACRE;AC;120045;SENADOR GUIOMARD;-10,1501;-67,7367;NORTE
ACRE;AC;120050;SENA MADUREIRA;-9,06389;-68,6718;NORTE
ACRE;AC;120060;TARAUACA;-8,15737;-70,7726;NORTE
ACRE;AC;120070;XAPURI;-10,652;-68,4973;NORTE
ACRE;AC;120080;PORTO ACRE;-9,59421;-67,5408;NORTE
AMAZONAS;AM;130002;ALVARAES;-3,22765;-64,8011;NORTE
AMAZONAS;AM;130006;AMATURA;-3,3632;-68,1995;NORTE
AMAZONAS;AM;130008;ANAMA;-3,56735;-61,3968;NORTE
AMAZONAS;AM;130010;ANORI;-3,74641;-61,6579;NORTE
AMAZONAS;AM;130014;APUI;-7,19839;-59,8852;NORTE
AMAZONAS;AM;130020;ATALAIA DO NORTE;-4,36785;-70,1911;NORTE
AMAZONAS;AM;130030;AUTAZES;-3,58613;-59,126;NORTE
AMAZONAS;AM;130040;BARCELOS;-0,983748;-62,9315;NORTE
AMAZONAS;AM;130050;BARREIRINHA;-2,79925;-57,0683;NORTE
AMAZONAS;AM;130060;BENJAMIN CONSTANT;-4,37806;-70,0346;NORTE
AMAZONAS;AM;130063;BERURI;-3,89912;-61,3621;NORTE
AMAZONAS;AM;130068;BOA VISTA DO RAMOS;-2,97447;-57,5878;NORTE
AMAZONAS;AM;130070;BOCA DO ACRE;-8,74272;-67,3924;NORTE
AMAZONAS;AM;130080;BORBA;-4,39193;-59,5878;NORTE
AMAZONAS;AM;130083;CAAPIRANGA;-3,31576;-61,221;NORTE
AMAZONAS;AM;130090;CANUTAMA;-6,52621;-64,3957;NORTE
AMAZONAS;AM;130100;CARAUARI;-4,8823;-66,9095;NORTE
AMAZONAS;AM;130110;CAREIRO;-3,76841;-60,3695;NORTE
AMAZONAS;AM;130115;CAREIRO DA VARZEA;-3,19736;-59,7968;NORTE
AMAZONAS;AM;130120;COARI;-4,09451;-63,1445;NORTE
AMAZONAS;AM;130130;CODAJAS;-3,83696;-62,0592;NORTE
AMAZONAS;AM;130140;EIRUNEPE;-6,65716;-69,8666;NORTE
AMAZONAS;AM;130150;ENVIRA;-7,43218;-70,0234;NORTE
AMAZONAS;AM;130160;FONTE BOA;-2,5238;-66,0947;NORTE
AMAZONAS;AM;130165;GUAJARA;-7,53836;-72,5912;NORTE
AMAZONAS;AM;130170;HUMAITA;-7,51211;-63,0332;NORTE
AMAZONAS;AM;130180;IPIXUNA;-7,05101;-71,6895;NORTE
AMAZONAS;AM;130185;IRANDUBA;-3,27518;-60,1904;NORTE
AMAZONAS;AM;130190;ITACOATIARA;-3,13899;-58,4453;NORTE
AMAZONAS;AM;130195;ITAMARATI;-6,42498;-68,2605;NORTE
AMAZONAS;AM;130200;ITAPIRANGA;-2,74119;-58,0297;NORTE
AMAZONAS;AM;130210;JAPURA;-1,88274;-66,9295;NORTE
AMAZONAS;AM;130220;JURUA;-3,48477;-66,0723;NORTE
AMAZONAS;AM;130230;JUTAI;-2,74904;-66,7696;NORTE
AMAZONAS;AM;130240;LABREA;-7,26453;-64,7952;NORTE
AMAZONAS;AM;130250;MANACAPURU;-3,29104;-60,622;NORTE
AMAZONAS;AM;130255;MANAQUIRI;-3,44117;-60,4617;NORTE
AMAZONAS;AM;130260;MANAUS;-3,10245;-60,0255;NORTE
AMAZONAS;AM;130270;MANICORE;-5,80501;-61,2899;NORTE
AMAZONAS;AM;130280;MARAA;-1,85351;-65,5735;NORTE
AMAZONAS;AM;130290;MAUES;-3,39328;-57,7072;NORTE
AMAZONAS;AM;130300;NHAMUNDA;-2,20831;-56,7116;NORTE
AMAZONAS;AM;130310;NOVA OLINDA DO NORTE;-3,90076;-59,0945;NORTE
AMAZONAS;AM;130320;NOVO AIRAO;-2,63675;-60,9438;NORTE
AMAZONAS;AM;130330;NOVO ARIPUANA;-5,12632;-60,3736;NORTE
AMAZONAS;AM;130340;PARINTINS;-2,6378;-56,7295;NORTE
AMAZONAS;AM;130350;PAUINI;-7,7135;-66,9925;NORTE
AMAZONAS;AM;130353;PRESIDENTE FIGUEIREDO;-2,03019;-60,0238;NORTE
AMAZONAS;AM;130356;RIO PRETO DA EVA;-2,70488;-59,6862;NORTE
AMAZONAS;AM;130360;SANTA ISABEL DO RIO NEGRO;-0,411196;-65,0097;NORTE
AMAZONAS;AM;130370;SANTO ANTONIO DO ICA;-3,10318;-67,9461;NORTE
AMAZONAS;AM;130380;SAO GABRIEL DA CACHOEIRA;-0,119461;-67,0845;NORTE
AMAZONAS;AM;130390;SAO PAULO DE OLIVENCA;-3,46193;-68,951;NORTE
AMAZONAS;AM;130395;SAO SEBASTIAO DO UATUMA;-2,55953;-57,8735;NORTE
AMAZONAS;AM;130400;SILVES;-2,81786;-58,2485;NORTE
AMAZONAS;AM;130406;TABATINGA;-4,24198;-69,9388;NORTE
AMAZONAS;AM;130410;TAPAUA;-5,62125;-63,1813;NORTE
AMAZONAS;AM;130420;TEFE;-3,3686;-64,7198;NORTE
AMAZONAS;AM;130423;TONANTINS;-2,8662;-67,7924;NORTE
AMAZONAS;AM;130426;UARINI;-2,99647;-65,1138;NORTE
AMAZONAS;AM;130430;URUCARA;-2,52975;-57,7542;NORTE
AMAZONAS;AM;130440;URUCURITUBA;-3,1288;-58,1501;NORTE
RORAIMA;RR;140002;AMAJARI;3,65308;-61,4185;NORTE
RORAIMA;RR;140005;ALTO ALEGRE;2,98822;-61,3076;NORTE
RORAIMA;RR;140010;BOA VISTA;2,81958;-60,6735;NORTE
RORAIMA;RR;140015;BONFIM;3,36126;-59,8337;NORTE
RORAIMA;RR;140017;CANTA;2,61047;-60,6029;NORTE
RORAIMA;RR;140020;CARACARAI;1,81985;-61,1282;NORTE
RORAIMA;RR;140023;CAROEBE;0,876654;-59,6968;NORTE
RORAIMA;RR;140028;IRACEMA;2,16683;-61,0529;NORTE
RORAIMA;RR;140030;MUCAJAI;2,44484;-60,9209;NORTE
RORAIMA;RR;140040;NORMANDIA;3,88207;-59,6317;NORTE
RORAIMA;RR;140045;PACARAIMA;4,47954;-61,1481;NORTE
RORAIMA;RR;140047;RORAINOPOLIS;0,939589;-60,4394;NORTE
RORAIMA;RR;140050;SAO JOAO DA BALIZA;0,951293;-59,9137;NORTE
RORAIMA;RR;140060;SAO LUIZ;1,01689;-60,0387;NORTE
RORAIMA;RR;140070;UIRAMUTA;4,6028;-60,1819;NORTE
PARA;PA;150010;ABAETETUBA;-1,72221;-48,8792;NORTE
PARA;PA;150013;ABEL FIGUEIREDO;-4,95373;-48,3937;NORTE
